timestamp,sky state_min,sky state_max,sky state_mean,sky state_median
2018-04-14,1.0,3.0,1.121212121212121,1.0
2018-04-15,1.0,4.0,2.242424242424242,2.5
2018-04-16,1.0,4.0,3.9242424242424243,4.0
2018-04-17,1.0,4.0,3.590909090909091,4.0
2018-04-18,3.0,4.0,3.4393939393939394,3.0
2018-04-19,2.0,3.0,2.7803030303030303,3.0
2018-04-20,1.0,4.0,2.0681818181818183,2.0
2018-04-21,1.0,3.0,1.9090909090909092,2.0
2018-04-22,1.0,3.0,1.8863636363636365,2.0
2018-04-23,2.0,4.0,2.871212121212121,3.0
2018-04-24,2.0,3.0,2.803030303030303,3.0
2018-04-25,3.0,4.0,3.659090909090909,4.0
2018-04-26,1.0,4.0,2.9015151515151514,3.0
2018-04-27,1.0,3.0,1.5681818181818181,1.0
2018-04-28,1.0,3.0,2.0757575757575757,2.0
2018-04-29,1.0,4.0,2.9393939393939394,3.0
2018-04-30,1.0,4.0,2.757575757575758,3.0
2018-05-01,1.0,4.0,2.515151515151515,2.0
2018-05-02,1.0,1.0,1.0,1.0
2018-05-03,1.0,2.0,1.2196969696969697,1.0
2018-05-04,1.0,3.0,1.5833333333333333,1.0
2018-05-05,1.0,3.0,2.227272727272727,2.0
2018-05-06,1.0,3.0,2.2196969696969697,2.0
2018-05-07,2.0,4.0,3.4696969696969697,4.0
2018-05-08,4.0,4.0,4.0,4.0
2018-05-09,1.0,4.0,2.8257575757575757,3.0
2018-05-10,1.0,3.0,1.6893939393939394,2.0
2018-05-11,1.0,3.0,2.477272727272727,3.0
2018-05-12,3.0,4.0,3.8181818181818183,4.0
2018-05-13,4.0,4.0,4.0,4.0
2018-05-14,3.0,4.0,3.9696969696969697,4.0
2018-05-15,3.0,4.0,3.742424242424242,4.0
2018-05-16,1.0,3.0,1.878787878787879,2.0
2018-05-17,2.0,3.0,2.234848484848485,2.0
2018-05-18,3.0,4.0,3.3333333333333335,3.0
2018-05-19,2.0,4.0,3.0303030303030303,3.0
2018-05-20,3.0,4.0,3.5454545454545454,4.0
2018-05-21,1.0,4.0,2.1136363636363638,2.0
2018-05-22,1.0,2.0,1.0757575757575757,1.0
2018-05-23,1.0,2.0,1.3333333333333333,1.0
2018-05-24,1.0,2.0,1.1818181818181819,1.0
2018-05-25,1.0,2.0,1.2348484848484849,1.0
2018-05-26,1.0,2.0,1.3333333333333333,1.0
2018-05-27,2.0,3.0,2.5833333333333335,3.0
2018-05-28,1.0,3.0,2.3636363636363638,2.0
2018-05-29,1.0,3.0,1.6590909090909092,2.0
2018-05-30,1.0,2.0,1.1893939393939394,1.0
2018-05-31,1.0,3.0,2.227272727272727,2.0
2018-06-01,3.0,4.0,3.734848484848485,4.0
2018-06-02,4.0,4.0,4.0,4.0
2018-06-03,3.0,4.0,3.2803030303030303,3.0
2018-06-04,3.0,4.0,3.696969696969697,4.0
2018-06-05,2.0,4.0,3.5454545454545454,4.0
2018-06-06,2.0,3.0,2.492424242424242,2.0
2018-06-07,2.0,4.0,2.5833333333333335,3.0
2018-06-08,3.0,4.0,3.0606060606060606,3.0
2018-06-09,3.0,4.0,3.2954545454545454,3.0
2018-06-10,1.0,4.0,2.6515151515151514,3.0
2018-06-11,1.0,3.0,1.8106060606060606,2.0
2018-06-12,1.0,4.0,2.4393939393939394,2.0
2018-06-13,1.0,3.0,1.8181818181818181,2.0
2018-06-14,1.0,2.0,1.5227272727272727,2.0
2018-06-15,1.0,4.0,3.0833333333333335,3.0
2018-06-16,4.0,4.0,4.0,4.0
2018-06-17,2.0,4.0,3.7803030303030303,4.0
2018-06-18,2.0,3.0,2.772727272727273,3.0
2018-06-19,2.0,4.0,2.977272727272727,3.0
2018-06-20,3.0,4.0,3.1818181818181817,3.0
